Rk,Team,GP,G,GA,Sh,Sh%,ShA,SV%,PP%,PK%,SHG,SHGA,FO%,PIM,G/G,GA/G,S/G,SA/G,PIM/G,Age,Ht,Wt
1,Air Force,14,35,56,417,8.4,393,0.858,20,71,2,1,49.1,171,2.5,4,29.8,28.1,12.2,22.5,5-11.6,185
2,Alabama-Huntsville,22,31,80,392,7.9,719,0.889,16.2,80.9,1,1,41.6,284,1.4,3.6,17.8,32.7,12.9,22.1,6-0.3,183.3
3,American Int'l,19,67,40,608,11,432,0.907,23.6,78.7,1,1,51.3,198,3.5,2.1,32,22.7,10.4,22.8,6-0.0,185.7
4,Arizona State,26,68,106,703,9.7,971,0.891,16.7,79.5,2,4,43.9,199,2.6,4.1,27,37.3,7.7,22.2,5-11.7,184.4
5,Army,22,71,48,719,9.9,584,0.918,23.5,76,2,1,51.1,223,3.2,2.2,32.7,26.5,10.1,22.7,6-0.3,183.9
6,Bemidji State,29,82,70,809,10.1,868,0.919,14.3,91.7,4,4,53.3,229,2.8,2.4,27.9,29.9,7.9,22.6,5-11.2,178.8
7,Bentley,16,42,51,404,10.4,472,0.892,21.6,81.4,0,0,49.3,266,2.6,3.2,25.3,29.5,16.6,21.11,6-0.7,190
8,Boston College,24,91,58,808,11.3,802,0.928,15.5,86,8,3,51.8,242,3.8,2.4,33.7,33.4,10.1,20.4,6-0.5,187.7
9,Boston University,16,52,45,422,12.3,536,0.916,15.6,84.1,2,1,43.2,174,3.3,2.8,26.4,33.5,10.9,20.1,6-0.8,185
10,Bowling Green,31,108,67,1122,9.6,811,0.917,18.8,80.4,5,1,50.8,393,3.5,2.2,36.2,26.2,12.7,22.1,6-0.1,182.8
11,Canisius,17,59,46,497,11.9,551,0.917,18.6,78.6,4,1,47.7,154,3.5,2.7,29.2,32.4,9.1,22.5,6-0.2,189.2
12,Clarkson,22,62,52,633,9.8,601,0.913,19,82.4,1,2,51.9,220,2.8,2.4,28.8,27.3,10,21.9,6-0.2,190
13,Colgate,22,48,66,596,8.1,607,0.891,10.8,73.8,4,1,51.7,219,2.2,3,27.1,27.6,10,22,6-0.7,186.4
14,Colorado College,23,36,79,588,6.1,684,0.885,5.6,71.3,1,3,47.4,245,1.6,3.4,25.6,29.7,10.7,21.7,5-11.2,176.8
15,Connecticut,23,70,69,819,8.5,728,0.905,17.5,78.4,3,2,51.3,238,3,3,35.6,31.7,10.3,21.5,6-0.2,188
16,Denver,24,67,66,724,9.3,600,0.89,19.4,84,1,1,45.7,273,2.8,2.8,30.2,25,11.4,21.8,5-11.5,184.3
17,Ferris State,24,48,103,560,8.6,811,0.873,18.2,71.9,1,2,47.2,288,2,4.3,23.3,33.8,12,21.11,5-11.9,186
